source_variable_id,source_id,survey,cycle,original_name,population_asked,variable_type,variable_label,answer_values_and_codes,missing_n,missing_pct,distinct_n,min,max,example,country_specific_notes,codebook_name,codebook_label,codebook_variable_type,codebook_remarks,codebook_match_status,source_document,source_sheet,dictionary_source_row,codebook_source_row,review_status
SRC-PARIS-C1-Q_OECDACC3,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDACC3,ASK ALL,numeric,How often did you have a health problem but did not seek care because of difficulties in travelling to your primary care centre?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Often = 2; Sometimes = 3; Rarely = 4; Never = 5; Not applicable = 6; NA = 7,4478,5.44,6,1,6,5,Question was asked with slightly different wording in Australia: In the past 12 months how often did you have a health condition but did not seek care because of difficulties in travelling to your GP or healthcare professional?,Q_OECDACC3,How often did you have a health problem but did not seek care because of difficulties in travelling to your primary care centre?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,84,802,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDACC46,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDACC46,ASK ALL,numeric,"How often did you have a health problem but did not seek care, or did take a prescription medicine because of the cost?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Often = 2; Sometimes = 3; Rarely = 4; Never = 5; Not applicable = 6; NA = 7,4496,5.46,6,1,6,5,"Question was asked with slightly different wording in Australia: In the past 12 months how often did you have a health condition but did not seek care, or did not take a prescription medicine, because of the cost?",Q_OECDACC46,"How often did you have a health problem but did not seek care, or did take a prescription medicine because of the cost?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,85,814,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS4,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS4,ASK ALL,numeric,How easy is it for you to use your primary care centre’s website to look for information or access services?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Very easy = 1; Fairly easy = 2; Not very easy = 3; Not at all easy = 4; I haven’t tried = 5; My primary care centre does not have a website = 6; Not sure = 7; NA = 8,4844,5.89,7,1,7,5,,Q_GPPS4,How easy is it for you to use your primary care centre’s website to look for information or access services?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,86,826,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS51,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS51,ASK ALL,numeric,"As far as you know, which of the following online services does your primary care centre offer? - Booking appointments online",Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,4890,5.94,2,0,1,0,,Q_GPPS51,"As far as you know, which of the following online services does your primary care centre offer? - Booking appointments online",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,87,839,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS52,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS52,ASK ALL,numeric,"As far as you know, which of the following online services does your primary care centre offer? - Ordering repeat prescriptions online",Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,4890,5.94,2,0,1,0,,Q_GPPS52,"As far as you know, which of the following online services does your primary care centre offer? - Ordering repeat prescriptions online",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,88,845,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS53,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS53,ASK ALL,numeric,"As far as you know, which of the following online services does your primary care centre offer? - Accessing my medical records online",Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,4890,5.94,2,0,1,0,,Q_GPPS53,"As far as you know, which of the following online services does your primary care centre offer? - Accessing my medical records online",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,89,851,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS54,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS54,ASK ALL,numeric,"As far as you know, which of the following online services does your primary care centre offer? - Video consultations",Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,4890,5.94,2,0,1,0,,Q_GPPS54,"As far as you know, which of the following online services does your primary care centre offer? - Video consultations",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,90,857,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS55,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS55,ASK ALL,numeric,"As far as you know, which of the following online services does your primary care centre offer? - None of these",Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,4890,5.94,2,0,1,0,,Q_GPPS55,"As far as you know, which of the following online services does your primary care centre offer? - None of these",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,91,863,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS56,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS56,ASK ALL,numeric,"As far as you know, which of the following online services does your primary care centre offer? - Don’t know",Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,9093,11.05,2,0,1,1,Option not available in the US,Q_GPPS56,"As far as you know, which of the following online services does your primary care centre offer? - Don’t know",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,92,869,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS61,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS61,ASK ALL,numeric,Which of the following online services offered by your primary care centre have you used? - Booking appointments online,Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,21619,26.28,2,0,1,0,,Q_GPPS61,Which of the following online services offered by your primary care centre have you used? - Booking appointments online,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,93,875,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS62,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS62,ASK ALL,numeric,Which of the following online services offered by your primary care centre have you used? - Ordering repeat prescriptions online,Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,21619,26.28,2,0,1,0,,Q_GPPS62,Which of the following online services offered by your primary care centre have you used? - Ordering repeat prescriptions online,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,94,881,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS63,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS63,ASK ALL,numeric,Which of the following online services offered by your primary care centre have you used? - Accessing my medical records online,Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,21619,26.28,2,0,1,0,,Q_GPPS63,Which of the following online services offered by your primary care centre have you used? - Accessing my medical records online,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,95,887,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS64,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS64,ASK ALL,numeric,Which of the following online services offered by your primary care centre have you used? - Video consultations,Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,21619,26.28,2,0,1,0,,Q_GPPS64,Which of the following online services offered by your primary care centre have you used? - Video consultations,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,96,893,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPS65,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPS65,ASK ALL,numeric,Which of the following online services offered by your primary care centre have you used? - None of these,Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 0; Yes = 1,21619,26.28,2,0,1,1,,Q_GPPS65,Which of the following online services offered by your primary care centre have you used? - None of these,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,97,899,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CWF119,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CWF119,ASK ALL,numeric,"Overall, how do you rate the medical care that you have received in the past 12 months from your primary care centre?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; Have not received medical care in the last 12 months = 6; Not sure = 7; NA = 8,4715,5.73,7,1,7,3,,Q_CWF119,"Overall, how do you rate the medical care that you have received in the past 12 months from your primary care centre?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,98,906,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_EMERG,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_EMERG,ASK ALL,numeric,"In the last 12 months, have you been to a hospital emergency department for your own medical care?","Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 1; Yes, once = 2; Yes, twice = 3; Yes, 3 or more times = 4; Not sure = 5; NA = 6",4711,5.73,5,1,5,1,,Q_EMERG,"In the last 12 months, have you been to a hospital emergency department for your own medical care?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,99,919,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CWF2016HOSP,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CWF2016HOSP,ASK ALL,numeric,"In the last 12 months, have you been in a hospital for one night or longer?","Not answered = -97; Multiple answers = -96; Question not asked = -95; No = 1; Yes, once = 2; Yes, twice = 3; Yes, 3 or more times = 4; Not sure = 5; NA = 6",4731,5.75,5,1,5,2,,Q_CWF2016HOSP,"In the last 12 months, have you been in a hospital for one night or longer?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,100,930,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-LASTAPP,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,LASTAPP,ASK ALL,numeric,"When was your last general practice appointment - Please include appointments with different health care professionals, at different locations, as well as telephone and online appointments",Not answered = -97; Multiple answers = -96; Question not asked = -95; In the past 3 months = 1; Between 3 and 6 months ago = 2; Between 6 and 12 months ago = 3; More than 12 months ago = 4; I haven’t had an appointment since being registered with my GP practice = 5; NA = 6,74584,90.65,2,1,2,1,"Country-specific question for Wales, removed from other countries' PUF",LASTAPP,"When was your last general practice appointment? Please include appointments with different health care professionals, at different locations, as well as telephone and online appointments",Numeric,These respondents were dropped (not eligible for PaRIS),MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,101,941,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PURPOS,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PURPOS,ASK ALL,numeric,What was the main purpose of this consultation?,Not answered = -97; Multiple answers = -96; Question not asked = -95; First contact for a new problem = 1; Follow-up of a new problem = 2; Routine care for a long-term problem = 3; Non-routine care for a long-term problem = 4; General preventive care = 5; Not sure = 6; Annual or regular check = 7,5312,6.46,6,1,6,2,,Q_PURPOS,What was the main purpose of this consultation?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,102,953,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDACC7A,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDACC7a,ASK ALL,numeric,"Who did you have this consultation with? If you saw more than one health care professional, please select the one you spent most time with on the day","Not answered = -97; Multiple answers = -96; Question not asked = -95; A doctor specialised in family medicine/general practice = 1; Another specialist doctor = 2; A nurse = 3; Nurse practitioner = 4; An allied health care professional, such as a physiotherapist, dietician, or podiatrist = 5; Another health care professional = 6; Not sure = 7; NA = 8",5987,7.28,7,1,7,3,Option not available in Spain,Q_OECDACC7a,"Who did you have this consultation with? If you saw more than one health care professional, please select the one you spent most time with on the day",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,103,965,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDACC7B,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDACC7b,ASK ALL,numeric,Where was this health care professional working?,Not answered = -97; Multiple answers = -96; Question not asked = -95; A primary care centre = 1; An outpatient department of a hospital = 2; Other = 3; Not sure = 4; Not applicable = 5; NA = 6,5233,6.36,5,1,5,3,Option not available in Spain,Q_OECDACC7b,Where was this health care professional working?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,104,977,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDACC7C,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDACC7c,ASK ALL,numeric,Which of the following best describes the type of care you received?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Face-to-face consultation in the health care professional's office = 1; Telephone consultation = 2; Video consultation = 3; Home visit = 4; Other = 5; Not sure = 6; NA = 7,5322,6.47,6,1,6,1,Remove variable from the US PUF only (keep in combined PUF of 13 countries),Q_OECDACC7c,Which of the following best describes the type of care you received?,Numeric,"The question was MULTIPLE (all that apply) in the US, but SINGLE in the other countries. The results of the US questions have been integrated in Q_OECDACC7c as if they were SINGLE choice. This question retains the original response",MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,105,987,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-GPPSACCESS,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,GPPSACCESS,ASK ALL,numeric,How long after initially trying to book the appointment did the appointment take place?,Not answered = -97; Multiple answers = -96; Question not asked = -95; On the same day = 1; On the next day = 2; A few days and up to a week later = 3; More than a week and up to one month later = 4; More than one month later = 5; Can't remember = 6; NA = 7,5701,6.93,6,1,6,1,,GPPSACCESS,How long after initially trying to book the appointment did the appointment take place?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,106,1000,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDACC9,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDACC9,ASK ALL,numeric,Was the time you waited a problem for you?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,5257,6.39,3,1,3,2,,Q_OECDACC9,Was the time you waited a problem for you?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,107,1012,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDACC8,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDACC8,ASK ALL,numeric,Did this health care professional spend enough time with you?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",5129,6.23,5,1,5,1,,Q_OECDACC8,Did this health care professional spend enough time with you?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,108,1021,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDEXP2,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDEXP2,ASK ALL,numeric,Did this health care professional explain things in a way that was easy to understand?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",5211,6.33,5,1,5,1,,Q_OECDEXP2,Did this health care professional explain things in a way that was easy to understand?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,109,1032,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GPPSTRUST,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GPPSTRUST,ASK ALL,numeric,Did you have confidence and trust in the healthcare professional you saw or spoke to?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",5174,6.29,5,1,5,1,,Q_GPPSTRUST,Did you have confidence and trust in the healthcare professional you saw or spoke to?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,110,1043,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDEXP5,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDEXP5,ASK ALL,numeric,"Overall, how would you rate the quality of this consultation?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; Not sure = 6; NA = 7,5205,6.33,6,1,6,2,,Q_OECDEXP5,"Overall, how would you rate the quality of this consultation?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,111,1054,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_COVID1,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_COVID1,ASK ALL,numeric,Whether ever tested positive for COVID-19 or been told by doctor that have had COVID-19?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,5535,6.73,3,1,3,1,,Q_COVID1,Whether ever tested positive for COVID-19 or been told by doctor that have had COVID-19?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,112,1066,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_COVID2,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_COVID2,ASK IF Q_COVID1 = 1,numeric,Whether had symptoms lasting 2 months or longer prior to having COVID-19?,No = 0; 2-6 months = 1; 6 months or more = 2,42496,51.65,3,0,2,1,Question not asked in the US,Q_COVID2,Whether had symptoms lasting 2 months or longer prior to having COVID-19?,Numeric,"Banded into categories (""No"" = 0,""2-6 months"" = 1, ""6 months or more"" = 2). Redefine Answer Label and Answer Code in ne codebook",MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,113,1074,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_COVID3,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_COVID3,ASK IF Q_COVID2 = 1 TO 4,numeric,Whether still have these long-term symptoms,Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,70999,86.29,3,1,3,2,Question not asked in the US,Q_COVID3,Whether still have these long-term symptoms,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,114,1079,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_COVID4,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_COVID4,ASK IF Q_COVID3 = 1,numeric,Whether these long-term symptoms reduce ability to carry out day-to-day activities,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, a lot = 1; Yes, a little = 2; Not at all = 3; Not sure = 4; NA = 5",77770,94.52,4,1,4,4,Question not asked in the US,Q_COVID4,Whether these long-term symptoms reduce ability to carry out day-to-day activities,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,115,1088,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDLIT5A,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDLIT5a,ASK ALL,numeric,Which of these terms best describes your current work situation?,"Employed for pay - USA and Australia (self-employed or in paid employment) = 511; Other - USA (looking for work, looking after the home, unable to work, not working and not looking for work, apprentice, other) = 512; Not employed for pay - Australia = 513; Not answered = -97; Multiple answers = -96; Question not asked = -95; Self-employed [work for yourself] = 1; In paid employment [work for someone else] = 2; Looking for work = 3; Looking after the home = 4; Unable to work due to sickness or ill-health = 5; Retired = 6; Not working and not looking for work = 8; Other (includes Student and apprentice) = 10; Don’t know = 11",5469,6.65,11,1,512,6,"Removed from Norway's and Luxembourg's PUF Exact question not asked in Australia, the options from Australia 511 and 513 were recoded to be include in this questions. || Recoded US data (to avoid disclosure) and Australia || Recoded US data (to avoid disclosure) || Recoded from question in Australia",Q_OECDLIT5a,Which of these terms best describes your current work situation?,Integer,"Recategorised low prevalent small cell categories (i.e., 7 - student and 9 - apprentice into 10 -other)). Change label of 10 to: Other (includes Student and apprentice) Removed labels for 7 and 9",MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,116,1099,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDLIT7,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDLIT7,ASK ALL,numeric,Which of these categories does your household net income usually fall into?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Up to $X a month = 1; Between $X and $Y a month = 2; $Y or more a month = 3; Don’t know = 4; Prefer not to say = 5; NA = 6; USA: X per month or more = 12; Prefer not to say = 97; Don't know = 99,5813,7.07,6,1,99,1,Removed from Norway's and Luxembourg's PUF || Recoded US data (to avoid disclosure),Q_OECDLIT7,Which of these categories does your household net income usually fall into?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,117,1118,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_MONMED,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_MONMED,ASK ALL,numeric,"In the past 12 months, did you have problems paying or were unable to pay any medical bills?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Prefer not to say = 3; NA = 4; Not applicable = 98,5630,6.84,4,1,98,2,,Q_MONMED,"In the past 12 months, did you have problems paying or were unable to pay any medical bills?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,118,1132,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_MON_MONMEAL,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_MON_MONMEAL,ASK ALL,numeric,How often in the past 12 months would you say you were worried or stressed about the following things? - Having enough money to buy healthy meals?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Usually = 2; Sometimes = 3; Rarely = 4; Never = 5; NA = 6,5784,7.03,5,1,5,3,,Q_MON_MONMEAL,How often in the past 12 months would you say you were worried or stressed about the following things? - Having enough money to buy healthy meals?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,119,1141,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_MON_MONRENT,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_MON_MONRENT,ASK ALL,numeric,How often in the past 12 months would you say you were worried or stressed about the following things? - Having enough money to pay your rent or mortgage?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Usually = 2; Sometimes = 3; Rarely = 4; Never = 5; NA = 6,6417,7.8,5,1,5,5,,Q_MON_MONRENT,How often in the past 12 months would you say you were worried or stressed about the following things? - Having enough money to pay your rent or mortgage?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,120,1151,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_MON_MONBILLS,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_MON_MONBILLS,ASK ALL,numeric,"How often in the past 12 months would you say you were worried or stressed about the following things? - Having enough money to pay for other monthly bills, like electricity, heat, and your telephone?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Usually = 2; Sometimes = 3; Rarely = 4; Never = 5; NA = 6,10240,12.45,5,1,5,4,Question not asked in the US,Q_MON_MONBILLS,"How often in the past 12 months would you say you were worried or stressed about the following things? - Having enough money to pay for other monthly bills, like electricity, heat, and your telephone?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,121,1161,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_OECDLITII,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_OECDLITii,ASK ALL,numeric,Which of these best describes the type of area in which you live?,Not answered = -97; Multiple answers = -96; Question not asked = -95; City = 1; Town or suburb = 2; Rural area = 3; Don’t know = 4; NA = 5; Don't know = 99,5662,6.88,4,1,4,2,,Q_OECDLITii,Which of these best describes the type of area in which you live?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,122,1172,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-WHODIS_WHODIS1,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,WHODIS_WHODIS1,ASK ALL,numeric,"Should you need help, how easy is it for you to get help from the following people?",Not answered = -97; Multiple answers = -96; Very easy = 1; Easy = 2; Neither easy nor difficult = 3; Difficult = 4; Very difficult = 5; Not applicable = 6; NA = 7,6040,7.34,6,1,6,4,,WHODIS_WHODIS1,"Should you need help, how easy is it for you to get help from the following people?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,123,1183,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-WHODIS_WHODIS2,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,WHODIS_WHODIS2,ASK ALL,numeric,"Should you need help, how easy is it for you to get help from the following people? - Friends, neighbours and co-workers?",Not answered = -97; Multiple answers = -96; Very easy = 1; Easy = 2; Neither easy nor difficult = 3; Difficult = 4; Very difficult = 5; Not applicable = 6; NA = 7,6321,7.68,6,1,6,2,,WHODIS_WHODIS2,"Should you need help, how easy is it for you to get help from the following people? - Friends, neighbours and co-workers?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,124,1193,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-WHOWB11,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,WHOWB11,ASK ALL,numeric,"Do you need physical care or support, such as help with eating, dressing, bathing, moving around the house or assistance outside the house such as for using transportation?",Not answered = -97; Multiple answers = -96; Yes = 1; No = 2; NA = 3,5901,7.17,2,1,2,1,,WHOWB11,"Do you need physical care or support, such as help with eating, dressing, bathing, moving around the house or assistance outside the house such as for using transportation?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,125,1204,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_WHOWB12,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_WHOWB12,ASK ALL,numeric,"Do you need emotional care or support, such as comfort, advice or counseling?",Not answered = -97; Multiple answers = -96; Yes = 1; No = 2; NA = 3,6198,7.53,2,1,2,1,,Q_WHOWB12,"Do you need emotional care or support, such as comfort, advice or counseling?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,126,1210,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_WHOWB13,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_WHOWB13,ASK ALL,numeric,"Do you need support for health care, such as administering medicines, changing bandages or arranging for appointments with primary care providers?",Not answered = -97; Multiple answers = -96; Yes = 1; No = 2; NA = 3,5900,7.17,2,1,2,1,,Q_WHOWB13,"Do you need support for health care, such as administering medicines, changing bandages or arranging for appointments with primary care providers?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,127,1216,EXTRACTED_UNREVIEWED
